recorded_date,batch_num,site_code,approved_with_unapproved,arsenic_chlorides,assay_1D_Titrimetric,boxcox,days,hours,iron,minutes,seconds,sulfate,yeojohnson
2020-07-02 15:46:50,ABR9490,1255,104.6425,5.0,99.6425,126658.06729288946,2.0,50.0,50.0,3000.0,180000.0,250.0,227845.27781750943
2020-07-02 15:46:50,ABR9491,1255,104.6425,5.0,99.6425,126658.06729288946,2.0,50.0,50.0,3000.0,180000.0,250.0,227845.27781750943
2020-07-02 15:46:50,ABR9492,1255,104.72,5.0,99.72,126931.63954690244,2.0,48.0,50.0,2880.0,172800.0,250.0,228355.59964885408
2020-07-02 15:46:50,ABR9493,1255,104.72,5.0,99.72,126931.63954690244,2.0,48.0,50.0,2880.0,172800.0,250.0,228355.59964885408
2020-07-02 15:46:50,ABT9558,1255,104.72,5.0,99.72,126931.63954690244,2.0,48.0,50.0,2880.0,172800.0,250.0,228355.59964885408
2020-07-02 15:46:50,ABT9559,1255,104.72,5.0,99.72,126931.63954690244,2.0,48.0,50.0,2880.0,172800.0,250.0,228355.59964885408
2020-07-02 15:46:50,ABT9562,1255,104.72,5.0,99.72,126931.63954690244,2.0,48.0,50.0,2880.0,172800.0,250.0,228355.59964885408
2020-07-02 15:46:50,ABT9563,1255,104.702,5.0,99.702,126868.06652062912,2.0,48.0,50.0,2880.0,172800.0,250.0,228237.0065139073
2020-07-02 15:46:50,ABT9564,1255,104.702,5.0,99.702,126868.06652062912,2.0,48.0,50.0,2880.0,172800.0,250.0,228237.0065139073
2020-07-02 15:46:50,ABT9565,1255,104.702,5.0,99.702,126868.06652062912,2.0,48.0,50.0,2880.0,172800.0,250.0,228237.0065139073
2020-07-02 15:46:50,ABT9566,1255,104.702,5.0,99.702,126868.06652062912,2.0,48.0,50.0,2880.0,172800.0,250.0,228237.0065139073
2021-03-04 15:32:26,ABY0089,1255,,125.0,99.932,127681.92231439616,,,50.0,,,250.0,229755.405940781
